Keys,Definitions,Topic,Name
rơnôp,the bud of a deer horn that is used in making medicine,31,31_horse_pig_cow_goat
rơnơh,a small house built in the fields,-1,-1_to_be_of_and
ronŭng,eel,21,21_fish_catch_net_poison
rơng,forest,32,32_grass_weeds_garden_woods
rơnga,a black seed used for seasoning,9,9_fruit_leaf_plant_leaves
Rơngao,"Rengao, the Rengao people",13,13_person_people_1st_2nd
rơngei,to be free from slavery,0,0_praise_greet_oh_me
rơngĕnh,crisp and delicious,-1,-1_to_be_of_and
rơngŏu,a small black seed used for seasoning,9,9_fruit_leaf_plant_leaves
rơngơp,"cool, refreshing",42,42_cold_hot_cool_season
rơngot,"to miss, be lonesome for",-1,-1_to_be_of_and
rơnguỡ,"to miss, be lonesome for",-1,-1_to_be_of_and
rơnhong,"tall rice, corn",6,6_rice_husked_cooked_grain
rơnhông,of fog to be heavy ,-1,-1_to_be_of_and
rơpăng ,bitter squash,-1,-1_to_be_of_and
rơpiĕt,tongue,20,20_teeth_mouth_throat_lick
rơră,to be very sharp and painful e.g. grass that cuts skin,32,32_grass_weeds_garden_woods
rơrăk,to speak fluently and quickly at the same time to slip quickly,12,12_quickly_walking_go_walk
rơreh,to shake from fear,57,57_shake_fear_shaking_from
rơrĭk,"to want, have strong desire",16,16_desire_want_do_strive
rơrĭnh,to shake from fear,57,57_shake_fear_shaking_from
rơrỡk,to read or speak fast and fluently,12,12_quickly_walking_go_walk
rơseh,to sharpen a blade with an alternating motion first one side then the other,38,38_knife_blade_handle_sword
rơtah,water leech,8,8_water_river_sea_stream
rơtuh-rơtăl,"innumerable, hundreds of thousands",5,5_more_nothing_completely_all
rơuơ,to plow,-1,-1_to_be_of_and
rơwĕt,famine ,40,40_eat_eating_food_hungry
rơwing,tall as bamboo or top of the bamboo,15,15_bamboo_tube_xylophone_tall
rơwơn,plenty of time or space,3,3_time_day_night_if
rơwỡng,up in the air high near clouds,-1,-1_to_be_of_and
rơwưh,time,3,3_time_day_night_if
rơya,ginger ,0,0_praise_greet_oh_me
rỡ,to heat in order to boil,4,4_fire_light_boil_kettle
rỡm,"garbage, weeds",32,32_grass_weeds_garden_woods
rỡng,to speak for something beforehand,10,10_think_speak_understand_tell
rỡp,the feel of fish in hand when caught,21,21_fish_catch_net_poison
ruh,"of leaves, flowers to fall ",9,9_fruit_leaf_plant_leaves
"ruh, 'ba ruh","rice that grows from grains that have fallen on the ground, its own fall very easily",6,6_rice_husked_cooked_grain
rung-reng,the Têt tree ,19,19_tree_branch_branches_trees
ruỡ,to tighten as in tying or as python does ,-1,-1_to_be_of_and
rŭng,epidemic with many deaths,25,25_died_ceremony_grave_sacrifice
sa,to eat ,40,40_eat_eating_food_hungry
sa mơh,to eath rice ,6,6_rice_husked_cooked_grain
sah ,"white, clean, no smell ",17,17_dark_skin_white_black
sal ,to sprinkle scatter ,-1,-1_to_be_of_and
sap ,tasteless,-1,-1_to_be_of_and
saw,to be wide cover large area,23,23_size_large_fit_wide
săk,bag ,-1,-1_to_be_of_and
săng ,knife,38,38_knife_blade_handle_sword
săng-si,to designate a big person on one knee wrestling with a child,26,26_stomach_fat_strong_bloated
săr,unplowed field ,-1,-1_to_be_of_and
săt ,of meat or fish to be fresh ,-1,-1_to_be_of_and
săt ,to knit,18,18_thread_weaving_instrument_wind
"săt, ưh kơ băt săt ",not know anything about at all ,0,0_praise_greet_oh_me
se ,vehicle,0,0_praise_greet_oh_me
se-le,to look over completely,28,28_look_at_peek_test
se-le sônh-lônh,intensive of above form,29,29_intensive_form_lơ_truly
seh,on the outer side of,-1,-1_to_be_of_and
seh,to cut grass close to ground,32,32_grass_weeds_garden_woods
sem,"bird, animals in general ",11,11_bird_birds_rooster_nest
sem păr,bird,11,11_bird_birds_rooster_nest
sen,to be unhusked,-1,-1_to_be_of_and
sĕch,"flesh, lean meat",-1,-1_to_be_of_and
sĕch,to turn pot around so it is heated by fire,4,4_fire_light_boil_kettle
sĕm,with,53,53_then_therefore_also_but
sĕr,"a plate, flat dish",-1,-1_to_be_of_and
sêng,large drying basket ,-1,-1_to_be_of_and
si,louse ,0,0_praise_greet_oh_me
"si-wi, 'long si-wi",a machine used to roll up thread,18,18_thread_weaving_instrument_wind
sih,"to plug a gap, put up a barrier ",37,37_hole_plug_drill_sink
sih-suh,feeling of falling down when one is asleep or feverish,24,24_sick_tired_sleep_sickness
sik,wine,47,47_wine_jar_pour_great
sim,a domesticated duck larger than the more common duck,11,11_bird_birds_rooster_nest
sing-sơng,walking stilts ,12,12_quickly_walking_go_walk
sip,target  ,2,2_hit_hand_carry_stick
"sip, 'nhĕt sip",a type of grass or weed,32,32_grass_weeds_garden_woods
sir,to dig,-1,-1_to_be_of_and
sir, to be completely covered hidden,-1,-1_to_be_of_and
sĭn,"to be cooked, done in reference to food ",-1,-1_to_be_of_and
sĭn,to move over to make space for someone else ,-1,-1_to_be_of_and
sĭnh-ngĭnh,angry growl or noise of an animal or person,1,1_noise_sound_tiger_of
sĭr,"to be completely covered, hidden ",-1,-1_to_be_of_and
sĭt,to come true be true ,10,10_think_speak_understand_tell
sĭt,to sew,18,18_thread_weaving_instrument_wind
so,old (inanimate things) ,-1,-1_to_be_of_and
"so, kŏ so",wild dog wolf ,36,36_dog_hunting_prey_wild
"so, si so",dog flea,36,36_dog_hunting_prey_wild
so,to brush to make clean as in brushing teeth ,48,48_clean_wash_dirty_rub
soh,to light a fire ,4,4_fire_light_boil_kettle
soh,shoo ,0,0_praise_greet_oh_me
soi,"commune with the spirits, sacrifice ",25,25_died_ceremony_grave_sacrifice
soi,a long time ,3,3_time_day_night_if
sok,to pound corn or vegetables with mortar and pestle,-1,-1_to_be_of_and
sol,"to try to heal a person who has been sorcerized by taking out nail, worm from body",-1,-1_to_be_of_and
sol ,to hunt fish by use of torch ,21,21_fish_catch_net_poison
song ,"to divide up and give, distribute",-1,-1_to_be_of_and
"song, gŏ song ","metal pot, kettle, pan",4,4_fire_light_boil_kettle
"sop, sŏk sop ",body hair ,50,50_hair_unruly_matted_curly
sot ,"to live long, longevity ",-1,-1_to_be_of_and
sŏ,"to dip water, get water, to dish out rice, serve rice",6,6_rice_husked_cooked_grain
sŏk,to contain much as can or pot,-1,-1_to_be_of_and
sŏk,"hair, feathers",50,50_hair_unruly_matted_curly
"sŏng, sŏng",eat rice,6,6_rice_husked_cooked_grain
"sŏu, sâu",grandchild (also has wider meaning outside family),14,14_children_law_mother_father
sŏu-se,offspring,14,14_children_law_mother_father
sô,to love (man-woman),-1,-1_to_be_of_and
sôch,of an ant or bee to sting,27,27_bee_ant_insect_fly
sôi,type of fish trap like pam ,-1,-1_to_be_of_and
sôk,mole (animal),0,0_praise_greet_oh_me
sông,to burn,4,4_fire_light_boil_kettle
sơ'bei,"Chinese cabbage, pechay",-1,-1_to_be_of_and
sơ'beng,crowbar,11,11_bird_birds_rooster_nest
sơ'blŏk,unconscious,-1,-1_to_be_of_and
sơ'bŏng,soap,0,0_praise_greet_oh_me
sơdang,shrimp,21,21_fish_catch_net_poison
Sơdang,Sedang,0,0_praise_greet_oh_me
sơdol,appearance of funny-looking teeth,20,20_teeth_mouth_throat_lick
sodrêu,badly-shaped teeth,20,20_teeth_mouth_throat_lick
sơdring,a string of fish ,21,21_fish_catch_net_poison
sơda ,"handspan, to divine by handspans",2,2_hit_hand_carry_stick
sơđah,to crack,-1,-1_to_be_of_and
sơđang,festival to abandon grave,25,25_died_ceremony_grave_sacrifice
sơđong,a trap that chokes animals by string ,44,44_trap_animals_bait_pam
sơđỡng,to depend upon peaceful,-1,-1_to_be_of_and
sơgỡr,drum ,1,1_noise_sound_tiger_of
sơk,to pull up shirt to keep from getting wet,7,7_clothes_head_cloth_wrinkled
sơkat,"to speak with magical power, to speak and have something magical happen ",10,10_think_speak_understand_tell
sơkă,a small backbasket,-1,-1_to_be_of_and
sơkă,rough-surfaced,-1,-1_to_be_of_and
sơkăr,to have something in one's eyes,55,55_eyes_eye_cockeyed_crosseyed
sơke,wild boar,-1,-1_to_be_of_and
sơker,to shake with fear ,57,57_shake_fear_shaking_from
sơkĕnh,catfish ,21,21_fish_catch_net_poison
sơkĕnh,black ,17,17_dark_skin_white_black
sơkok,mat ,-1,-1_to_be_of_and
sơkỡt,"to be engaged, betrothed ",-1,-1_to_be_of_and
sơkŭng,bill of a bird,11,11_bird_birds_rooster_nest
sơkŭng,lips,20,20_teeth_mouth_throat_lick
sơkŭp,to be upside down ,33,33_fall_down_descend_stumble
sơl,to put under to make higher jack up ,-1,-1_to_be_of_and
sơlah,to part different ways ,-1,-1_to_be_of_and
trong sơlah,"intersection of paths, roads ",-1,-1_to_be_of_and
sơlak,a type of flat bean,-1,-1_to_be_of_and
sơlam,"in between, in the middle ",-1,-1_to_be_of_and
pơm 'long sơlam,be a mediator,0,0_praise_greet_oh_me
sơlă,to understand,10,10_think_speak_understand_tell
bơngai ưh kơ sơlă,a person who doesn't understand ,10,10_think_speak_understand_tell
sơlăt,lettuce,0,0_praise_greet_oh_me
sơleng,"to be bewildered, amazed, not understand about at all ",-1,-1_to_be_of_and
sơlĕp,"to be dark, not able to see through",17,17_dark_skin_white_black
sơliơi,to designate funny appearance of someone eating betel nut; to describe someone who says or does whatever he likes,-1,-1_to_be_of_and
solĭp,to describe thick grass dark night when one can't see at all ,17,17_dark_skin_white_black
sơlong,headdress,7,7_clothes_head_cloth_wrinkled
sơlôk,to be piled high ,23,23_size_large_fit_wide
sơlôk-sơlak,a large pile,-1,-1_to_be_of_and
sơlỗ,a magic medicine that blinds the eyes of others for a while,55,55_eyes_eye_cockeyed_crosseyed
soluễ,evil-looking face,-1,-1_to_be_of_and
sơluễ-sơluônh-mônh,intensive form of sơluễ,29,29_intensive_form_lơ_truly
solŭk,to be upside down,33,33_fall_down_descend_stumble
solŭl,"to be full of weeds, messy looking",32,32_grass_weeds_garden_woods
sơlŭng,hole in ground,37,37_hole_plug_drill_sink
sơlŭng dak ,a well,-1,-1_to_be_of_and
sơmaih,the mouth of the pam fish trap,44,44_trap_animals_bait_pam
somă,but,53,53_then_therefore_also_but
somĕch,mosquito,27,27_bee_ant_insect_fly
somôch,the stinger of an ant bee ,27,27_bee_ant_insect_fly
sơnar ,"baby birds, also used for small children",11,11_bird_birds_rooster_nest
sơnăl,chipmunk-like animal,36,36_dog_hunting_prey_wild
sơnăm,year,3,3_time_day_night_if
sơnĕnh,teeth,20,20_teeth_mouth_throat_lick
sơnêp,contentment,0,0_praise_greet_oh_me
sơnoh,to pay to spirits what has been promised or to actually buy something you say you will,-1,-1_to_be_of_and
sơnong,"that which is passed out, rewarded",-1,-1_to_be_of_and
sơnoy,of pots to be lying on their side,4,4_fire_light_boil_kettle
sơnôi,to describe car that fallen off road,0,0_praise_greet_oh_me
sơ'nỡr,to wake up ,-1,-1_to_be_of_and
sơng ,"to go greet, welcome, receive",0,0_praise_greet_oh_me
sơngah,to deny,30,30_stop_prevent_keep_doing
sơngiĕo,"cold water, food",42,42_cold_hot_cool_season
sơnglŏng,star,3,3_time_day_night_if
sơnguĕt,"whip, switch",0,0_praise_greet_oh_me
sơ'ngĭu,very sad and angry won't answer people,22,22_angry_sad_insult_threaten
sơ'ngon,to be sad,22,22_angry_sad_insult_threaten
sơ'nguer,to designate a child lying down sick unable to get up,24,24_sick_tired_sleep_sickness
sơ'nguir,to have fallen down or be sick and not be able to rise,24,24_sick_tired_sleep_sickness
sơ'nhoi,"to be sad, crestfallen",22,22_angry_sad_insult_threaten
sơpong,to be parallel ,-1,-1_to_be_of_and
sơpuăt,an edible rattan shoot,54,54_snake_rattan_poisonous_stripes
sơrông,the leap of a tiger or other animal,1,1_noise_sound_tiger_of
sơsek,to be itchy,0,0_praise_greet_oh_me
sơsôt,to hop all over the place frolic; to rub massage cool,42,42_cold_hot_cool_season
sơsrĕo,cool,42,42_cold_hot_cool_season
sơtôk,type of wine jar which is the most expensive and has a spirit associated with it,47,47_wine_jar_pour_great
sơuh,to breathe out ,-1,-1_to_be_of_and
sơwol,to designate long pointed nose,-1,-1_to_be_of_and
sỡ,distant past (from six months to a year in the past back to any time more distant),3,3_time_day_night_if
sỡk,to dry clothes,7,7_clothes_head_cloth_wrinkled
"sỡk-lỡk, pă sỡk-lỡk","to have no worries, happy-go-lucky",-1,-1_to_be_of_and
sỡl,"soft, rubber-like substance in bamboo",15,15_bamboo_tube_xylophone_tall
sỡn,"to persevere, not give in",16,16_desire_want_do_strive
sraih,cleansing ceremony to get rid of bad elements from living persons taking care of one who just died ,25,25_died_ceremony_grave_sacrifice
sraih bơmrôm,type of skin pigment coloration,17,17_dark_skin_white_black
srang,"to throw spear, pole",2,2_hit_hand_carry_stick
srao,to cook together ,4,4_fire_light_boil_kettle
sră ,crossbow,-1,-1_to_be_of_and
srĕng,dry,-1,-1_to_be_of_and
srĕp,to be hidden,-1,-1_to_be_of_and
srê,"palm-shaped, spoke-shaped as rays of sun at dawn",-1,-1_to_be_of_and
sring,to pierce fish and put on string ,21,21_fish_catch_net_poison
srĭ,"solder, aluminum",46,46_chain_necklace_metal_bracelet
sro,to wave hand; of plant to climb up,2,2_hit_hand_carry_stick
srok,to pour grains into small opening,47,47_wine_jar_pour_great
srok,fish trap,44,44_trap_animals_bait_pam
srŏk,"type of louse, fleas that lives in clothes",36,36_dog_hunting_prey_wild
srŏng,sharpened sticks planted in ground as trap,44,44_trap_animals_bait_pam
srôih,early in the morning,3,3_time_day_night_if
srơu,to fall over backwards quickly,33,33_fall_down_descend_stumble
srỡng,to be noisy ,1,1_noise_sound_tiger_of
sruh,"to fall short of mark in shooting, to fall below",33,33_fall_down_descend_stumble
su,of small animals to give birth,-1,-1_to_be_of_and
suai,to be drunk,-1,-1_to_be_of_and
suang,to dance,-1,-1_to_be_of_and
suat,describes young man with pretty clothes,7,7_clothes_head_cloth_wrinkled
suăn,"to climb slope, mountain; of the sun to rise in the sky",-1,-1_to_be_of_and
"sueh, chă sueh",to question,0,0_praise_greet_oh_me
suek,"very black, dirty black",17,17_dark_skin_white_black
"sueng, 'bŏu sueng","describes nice smell of medicine, fish frying",-1,-1_to_be_of_and
suĕng,"pointed nose, pencil lead",-1,-1_to_be_of_and
suĕnh-suĕnh,dizzy,-1,-1_to_be_of_and
sum,rice granary,6,6_rice_husked_cooked_grain
sung,axe ,38,38_knife_blade_handle_sword
sut,to wipe ,48,48_clean_wash_dirty_rub
sut,bee ,27,27_bee_ant_insect_fly
"sŭk, ưh kơ sŭk tep",not be able to sleep sit down ,24,24_sick_tired_sleep_sickness
sŭng,down there,-1,-1_to_be_of_and
sữ,"to put, place, give, of parents to pass on things to their children",14,14_children_law_mother_father
tach,to whip ,0,0_praise_greet_oh_me
tah,to put inside to put candy in a jar ,47,47_wine_jar_pour_great
tah-tĭn,to throw up in the air continually as a ball,-1,-1_to_be_of_and
taih,of lightning to strike,0,0_praise_greet_oh_me
tak,spear,-1,-1_to_be_of_and
tam,used in a question asking if something has happened yet,3,3_time_day_night_if
tang ,"to take the place of, do for ",-1,-1_to_be_of_and
lôch tang,to die in the place of ,25,25_died_ceremony_grave_sacrifice
tang ,"to stop, prevent by going in between or in front of",30,30_stop_prevent_keep_doing
tang-dŏ,chair ,0,0_praise_greet_oh_me
tang-wang,"circle, cycle ",-1,-1_to_be_of_and
xe tang-wang,bicycle,0,0_praise_greet_oh_me
tang pơpiang,to describe unruly hair,50,50_hair_unruly_matted_curly
tang-al,a type of caterpillar ,27,27_bee_ant_insect_fly
tanh ,to weave ,18,18_thread_weaving_instrument_wind
tap ,to slap with hand,2,2_hit_hand_carry_stick
tar ,crosspiece of axe,38,38_knife_blade_handle_sword
tat,"to be accurate, true",10,10_think_speak_understand_tell
tă,"to salt, pepper",-1,-1_to_be_of_and
tă,"all, completely",5,5_more_nothing_completely_all
tăl,layers,0,0_praise_greet_oh_me
tăm,"moreover, even so the more ",-1,-1_to_be_of_and
tăng,bitter ,22,22_angry_sad_insult_threaten
tăng ,pipe,8,8_water_river_sea_stream
tăng kei,a tick (insect),27,27_bee_ant_insect_fly
tăng pơler,flounder,0,0_praise_greet_oh_me
"tăp, tăp dăr","all around, encircling",-1,-1_to_be_of_and
tăr,to be productive in thinking; to make a fence or wall of bamboo,15,15_bamboo_tube_xylophone_tall
tăr bang,a type of mat,-1,-1_to_be_of_and
tăr-wăr,to shake from fear ,57,57_shake_fear_shaking_from
teh,"ground, dirt, earth",-1,-1_to_be_of_and
teh,to hit with a small stick,2,2_hit_hand_carry_stick
teh-tŏng,one-rope swing ,18,18_thread_weaving_instrument_wind
tel,one bird that builds ingenious nest,11,11_bird_birds_rooster_nest
"tel, sŏk tel",matted hair ,50,50_hair_unruly_matted_curly
teng,to hit with the knuckle one time,2,2_hit_hand_carry_stick
teng-gŭr,the sound of the roar of the elephant,1,1_noise_sound_tiger_of
teng-neng,bell ,-1,-1_to_be_of_and
teng-net ,type of water snail with long pointed shell,-1,-1_to_be_of_and
teng-nơneng,noise of something hard like metal falling,1,1_noise_sound_tiger_of
teng-wĕ,"crooked as mouth, tree, weaving",19,19_tree_branch_branches_trees
teng,"close, shut ",20,20_teeth_mouth_throat_lick
teo ,easily bendable wood ,-1,-1_to_be_of_and
tep ,"to close eyes, sleep",-1,-1_to_be_of_and
"tep-lar, 'bih tep lar",a very small snake that is extremely poisonous,54,54_snake_rattan_poisonous_stripes
tĕng-nĕng,a tree that has very poisonous sap ,-1,-1_to_be_of_and
tĕnh,"fast, swift, quickly ",12,12_quickly_walking_go_walk
tĕp-tĕp,to blink  ,-1,-1_to_be_of_and
tê,of a horse to trot,31,31_horse_pig_cow_goat
tê-lê,"Oh, shame on you",0,0_praise_greet_oh_me
"tha, mă tha",even though ,-1,-1_to_be_of_and
tha,word used to tell oxen to turn to the right ,-1,-1_to_be_of_and
thar,"to go at once, do at once ",-1,-1_to_be_of_and
theng,trigger of bow or gun ,-1,-1_to_be_of_and
thep,to mend metal ,46,46_chain_necklace_metal_bracelet
thĕn,"to command, order",-1,-1_to_be_of_and
thĕng,to be quiet t,51,51_quiet_laugh_quietly_whisper
thi-thu,to fan fire (probably the noise of the fanning or blowing on fire),4,4_fire_light_boil_kettle
thim,to add to,0,0_praise_greet_oh_me
thoi,"like, as",-1,-1_to_be_of_and
"thong, đak thong",stream,8,8_water_river_sea_stream
"thŏu, thâu",probably,-1,-1_to_be_of_and
thôi,to be finished stop thong to go somewhere for pleasure,-1,-1_to_be_of_and
thỡr,many flat,-1,-1_to_be_of_and
thỡr-thăr-măr,many much,5,5_more_nothing_completely_all
thỡ-thă-thỡ-thăr-măr,many many things,5,5_more_nothing_completely_all
thu,to be defeated,-1,-1_to_be_of_and
thua,a top,-1,-1_to_be_of_and
thuk,to memorize ,10,10_think_speak_understand_tell
thuơ,to be defeated,-1,-1_to_be_of_and
thŭ,magical word used to make things happen,10,10_think_speak_understand_tell
thŭng,"valley, valley-shaped",-1,-1_to_be_of_and
thŭng-thong,rough bumpy,-1,-1_to_be_of_and
thŭt-thŭt,many people coming in one after another ,13,13_person_people_1st_2nd
ti ,arm,35,35_leg_arm_legs_joint
ti ,up there,-1,-1_to_be_of_and
tih,big large,23,23_size_large_fit_wide
tih-tap,very large,23,23_size_large_fit_wide
tih pang,no profit or value in ,0,0_praise_greet_oh_me
til,classifier for parts of the day ,-1,-1_to_be_of_and
til pơgê,morning,3,3_time_day_night_if
"tĭ, năr tĭ",fourth day after today ,3,3_time_day_night_if
tĭk,to stop or be stopped at a place before destination ,30,30_stop_prevent_keep_doing
tĭl ,to think over realize,10,10_think_speak_understand_tell
tĭng-nĭng,a many-stringed musical instrument,18,18_thread_weaving_instrument_wind
to,over there,-1,-1_to_be_of_and
toch,to stretch oneself,35,35_leg_arm_legs_joint
toh,breast,14,14_children_law_mother_father
toh,to pull out,-1,-1_to_be_of_and
toi,a sickness that kills animals ,-1,-1_to_be_of_and
toi-loi,chain necklace,46,46_chain_necklace_metal_bracelet
tol,blind,-1,-1_to_be_of_and
tom,"to be on time, in time",3,3_time_day_night_if
tong,"to soak in water, put into water",8,8_water_river_sea_stream
tong,"classifier for jars, guns, automobiles",-1,-1_to_be_of_and
"tong, năr tong",fifth day after today ,3,3_time_day_night_if
top,"to put tail between legs, to hunch up ",-1,-1_to_be_of_and
tor,the length of objects as opposed to their width i.e. the measurement of the length,23,23_size_large_fit_wide
tŏ,the most general classifier for things (usually not used with the number one),-1,-1_to_be_of_and
tŏ,hot,42,42_cold_hot_cool_season
tŏ-tĕnh,emphatic form of tŏ,-1,-1_to_be_of_and
tŏ,size,23,23_size_large_fit_wide
tŏ aĭ,the same size,23,23_size_large_fit_wide
tŏ kră,"the size, age of an adult",23,23_size_large_fit_wide
tŏ sĕt,"a little, few ",5,5_more_nothing_completely_all
tŏk,"to go up, ascend",-1,-1_to_be_of_and
tŏk,box,-1,-1_to_be_of_and
tŏk-bŏk,in the middle,-1,-1_to_be_of_and
tŏl,(bound morpheme that occurs in tŏl-bơbŏl),-1,-1_to_be_of_and
tŏl-bơbŏl,of something small to fall and roll ,56,56_roll_up_curl_curled
tŏng ,"to scoop out, dip out ",-1,-1_to_be_of_and
tŏt ,to pierce hole through,37,37_hole_plug_drill_sink
tôch,to finish ,-1,-1_to_be_of_and
tôl,squash,-1,-1_to_be_of_and
tôm,"enough, all, complete",5,5_more_nothing_completely_all
tôm-tĕch,intensive form of tôm,29,29_intensive_form_lơ_truly
tôm,trap like pam but with bait inside,44,44_trap_animals_bait_pam
tôn,to hit with a large stick,2,2_hit_hand_carry_stick
"tông, hnam tông",lookout tower,0,0_praise_greet_oh_me
tơ,"locative to, at",28,28_look_at_peek_test
tơan,to boast ,-1,-1_to_be_of_and
tơbang,to show clearly to to look into the distance,28,28_look_at_peek_test
tơbang,to be muddy and smelly,-1,-1_to_be_of_and
tơbăr,sticky,-1,-1_to_be_of_and
tơbĭt,to push against each other with shoulder,2,2_hit_hand_carry_stick
tơbla,chafed as when riding a horse,31,31_horse_pig_cow_goat
tơblah,"to fight battle, have war",-1,-1_to_be_of_and
tơblang,to translate interpret explain,10,10_think_speak_understand_tell
tơblay,rounded sides like a flower vase,-1,-1_to_be_of_and
tơblĕl,to call something someone by wrong name,13,13_person_people_1st_2nd
tơblĕo,to designate a rounded pustule-type elevation on skin,-1,-1_to_be_of_and
tơblĕnh,"tragedy, accident",25,25_died_ceremony_grave_sacrifice
tơblong,to make trouble by making false accusation,45,45_lie_accuse_fool_deceive
tơblŏt,short and homely,-1,-1_to_be_of_and
tơblỡ,"to turn over, to translate",41,41_over_change_turn_turning
tơblỡr,"slippery, smooth-surfaced",-1,-1_to_be_of_and
tơblŭt,"to fall, sink as ground, hole in chair",37,37_hole_plug_drill_sink
tơbŏk,"middle, zenith",-1,-1_to_be_of_and
tơbôl,"to make friends, be friends with",-1,-1_to_be_of_and
tơbỡr-tơbăr,of rice to be piled up (husked or unhusked rice),6,6_rice_husked_cooked_grain
tơbrăm,sore muscles from working,24,24_sick_tired_sleep_sickness
tơbronh,the color patterns of a fox or similar animals,-1,-1_to_be_of_and
tơbrônh,the color patterns of a tiger,1,1_noise_sound_tiger_of
tơbrônh-tơbranh-manh,to describe the sight of many tigers focusing on their color,1,1_noise_sound_tiger_of
tobŭl,to roll up in a bunch,56,56_roll_up_curl_curled
tơbŭl-tơbônh-mônh,of many people to fall and roll up as a ball,56,56_roll_up_curl_curled
"tơ'bang, khei tơ bang",first quarter moon ,-1,-1_to_be_of_and
tơ'băk,"to hang on, hook over line",-1,-1_to_be_of_and
tơ'băng,bamboo shoots  ,15,15_bamboo_tube_xylophone_tall
tơ'bet,to stab each other ,-1,-1_to_be_of_and
tơ'bêl,a large load,23,23_size_large_fit_wide
tơ'bĭch,"to make to lay down, lay someone down",33,33_fall_down_descend_stumble
tơ'bla,"fork in tree, forked stick, small branches",19,19_tree_branch_branches_trees
to'blăk,to hang on a hook,-1,-1_to_be_of_and
tơ'boch,a type of eruption that is very itchy,0,0_praise_greet_oh_me
tơ'bong,snout ,-1,-1_to_be_of_and
"tơ'bŏu, tơ'bâu",to make to look for by smelling e.g. dog after prey,36,36_dog_hunting_prey_wild
tơ'bôh,to show,28,28_look_at_peek_test
tơ'bỡp,to meet,43,43_together_meet_gather_discuss
tơ'buh,to have two objects with their heads facing each other,7,7_clothes_head_cloth_wrinkled
to'brê,to describe something rather large that is red,-1,-1_to_be_of_and
tơchĕng,to think,10,10_think_speak_understand_tell
tơchoh,"of birds to fight with, peck each other",11,11_bird_birds_rooster_nest
tơchŭm,to kiss each other,-1,-1_to_be_of_and
tơda đak,wild duck,-1,-1_to_be_of_and
tơdai,"to hit, slug",2,2_hit_hand_carry_stick
tơdăm,young unmarried man,-1,-1_to_be_of_and
tơdăng,"to be hard, stiff, not pliable",-1,-1_to_be_of_and
tơdăng,to live in someone else's house temporarily,-1,-1_to_be_of_and
"todăr, pơma tơdăr",to talk softly ,51,51_quiet_laugh_quietly_whisper
tơde ,a type of bird,11,11_bird_birds_rooster_nest
tơdeh,to wait a long time,3,3_time_day_night_if
tơdĭu,storm,-1,-1_to_be_of_and
tơdŏ,"to pound, to knock",-1,-1_to_be_of_and
tơdŏl,to swing,18,18_thread_weaving_instrument_wind
tơdŏng,"to rescue from trouble, help",-1,-1_to_be_of_and
tơdŏng,warp,-1,-1_to_be_of_and
tơdra,mark musical note,-1,-1_to_be_of_and
tơdra,to recognize,-1,-1_to_be_of_and
tơdrah,an area with thick clumps of pơle bamboo,15,15_bamboo_tube_xylophone_tall
tơdrăng,"common, belonging to all",5,5_more_nothing_completely_all
tơmam tơdrăng,things held in common,5,5_more_nothing_completely_all
tơdre,"twilight, time of sun going down",3,3_time_day_night_if
tơdrong,"thing (abstract), subject, story, matter",-1,-1_to_be_of_and
tơdrŏ,to shake heavily move back and forth,57,57_shake_fear_shaking_from
the tơdrŏ,earthquake,0,0_praise_greet_oh_me
"tơdrŏu, tơdrâu",six,-1,-1_to_be_of_and
tơdrôp,"market basket, cage",-1,-1_to_be_of_and
tơdruh,to chase each other,-1,-1_to_be_of_and
tơduă,"only those of one group, that group but no outsiders",13,13_person_people_1st_2nd
toduĕr,"to go around very fast as propeller, wheel",-1,-1_to_be_of_and
tơdut,the shape of a group of bees in the air,27,27_bee_ant_insect_fly
tơdŭk,(bound morpheme that occurs in tơdŭk-tơdăk),-1,-1_to_be_of_and
tơdŭk-tơdăk,action and noise of fruit or similar things hitting the ground,1,1_noise_sound_tiger_of
todŭk-tơdăk-măk,many roads branching off,-1,-1_to_be_of_and
tơđom,"to hold fast, not fall out, stick to, be caught in",2,2_hit_hand_carry_stick
tơđon,to make sacrifice,25,25_died_ceremony_grave_sacrifice
tơgar,"to argue over, compete to get something",-1,-1_to_be_of_and
tơgăk,bushhook,0,0_praise_greet_oh_me
"tơgep, jang tơgep",to do things two at once,-1,-1_to_be_of_and
"tơgĕch, pơm tơgĕch",to do something to get it over with,41,41_over_change_turn_turning
tơgiĕp,horn of cow or carabao used to make sound,31,31_horse_pig_cow_goat
tơgĭng,to keep on carrying in hand for a long time,2,2_hit_hand_carry_stick
tơgiot,of a rabbit to stick up its ears,34,34_particle_final_question_imperative
tơglăng,"to roll on ground as horse, tiger ",1,1_noise_sound_tiger_of
tơgleh,to pull fingers (contest) ,-1,-1_to_be_of_and
tơglĕch,dislocated joint ,35,35_leg_arm_legs_joint
tơgloh,to come loose as a blade from its handle ,38,38_knife_blade_handle_sword
tơglong-gloh,to win by a mile ,-1,-1_to_be_of_and
tơglỡm,two people wrestling trying to throw each other down ,-1,-1_to_be_of_and
tơglỡng-glơĭ (cheng-klŏng),bamboo or xylophone ,15,15_bamboo_tube_xylophone_tall
tơglŭk-glĕk,any joint in body ,35,35_leg_arm_legs_joint
