,Keys,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
3487,tơlăk,to place on shoulder e.g. a blanket hung on shoulder when no longer for warmth when walking,87,87_carry_shoulder_carrying_hold,"['carry', 'shoulder', 'carrying', 'hold', 'on', 'back', 'warmth', 'shoulders', 'holster', 'rocking']","['to carry by pole on shoulder', 'to carry on back', 'to carry on the shoulder ']",carry - shoulder - carrying - hold - on - back - warmth - shoulders - holster - rocking,0.42124527066374867,False
3488,tơlăng,to look at each other,38,38_look_see_at_clearly,"['look', 'see', 'at', 'clearly', 'here', 'closely', 'passes', 'stare', 'find', 'everybody']","['to look at ', 'to look at ', 'to look at']",look - see - at - clearly - here - closely - passes - stare - find - everybody,0.8957015201095286,False
3489,tơleh,woodpecker ,17,17_grass_weeds_woods_garden,"['grass', 'weeds', 'woods', 'garden', 'forest', 'roofs', 'cleaned', 'thatch', 'field', 'wall']","['very young grass of thatch used to make roofs', 'to cut grass', 'grass, weeds']",grass - weeds - woods - garden - forest - roofs - cleaned - thatch - field - wall,0.8206334668841581,False
3490,tơlei ,rope string cord ,18,18_weaving_thread_rope_weave,"['weaving', 'thread', 'rope', 'weave', 'string', 'instrument', 'wire', 'used', 'cotton', 'sew']","['instrument used to keep thread close together in weaving', 'instrument used carry thread in weaving', 'an instrument used to keep thread in weaving even ']",weaving - thread - rope - weave - string - instrument - wire - used - cotton - sew,0.34528749155984045,False
3491,tơlĕch,"to let out, take out ",104,104_throw_out_preceded_away,"['throw', 'out', 'preceded', 'away', 'trip', 'carried', 'drop', 'especially', 'spread', 'purpose']","['to throw out a net, to throw over shoulder', 'to throw', 'to throw out']",throw - out - preceded - away - trip - carried - drop - especially - spread - purpose,1.0,False
3492,tơlŏ,"stick used to beat gongs, drums ",96,96_gongs_gong_set_beat,"['gongs', 'gong', 'set', 'beat', 'march', 'smallest', 'chng', 'drums', 'classifier', 'large']","['small gongs', 'large gongs', 'large gongs']",gongs - gong - set - beat - march - smallest - chng - drums - classifier - large,0.3914130132641608,False
3493,tơlỡ,"to push, shove",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3494,tơluăn,naked-looking,13,13_clothes_pretty_skirt_blanket,"['clothes', 'pretty', 'skirt', 'blanket', 'cloth', 'loincloth', 'clothing', 'trousers', 'waist', 'paper']","['to put on clothes', 'clothes', 'clothes ']",clothes - pretty - skirt - blanket - cloth - loincloth - clothing - trousers - waist - paper,1.0,False
3495,tơlueng,(bound morpheme that occurs in tơlueng-tơluônh-mônh),-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3496,tơlueng-tơluônh-mônh,to describe someone with eyes half shut as when drunk or dead,43,43_eyes_crosseyed_blind_intently,"['eyes', 'crosseyed', 'blind', 'intently', 'eye', 'cockeyed', 'persons', 'looking', 'describe', 'blinds']","['to describe a person with big eyes looking intently at something', 'to describe a person with small eyes looking intently at something ', ""to describe a blind person's eyes""]",eyes - crosseyed - blind - intently - eye - cockeyed - persons - looking - describe - blinds,0.6860875294845237,False
3497,toluĕnh,of a small child to sleep curled up,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3498,tơluh,to go quickly,33,33_quickly_hurry_fast_wait,"['quickly', 'hurry', 'fast', 'wait', 'fluently', 'slowly', 'ambush', 'busy', 'speak', 'come']","['to do quickly ', 'fast, quickly ', 'quickly, fast']",quickly - hurry - fast - wait - fluently - slowly - ambush - busy - speak - come,1.0,False
3499,tơluih,to make to wear down,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3500,tơluing,to describe a blind person's eyes,43,43_eyes_crosseyed_blind_intently,"['eyes', 'crosseyed', 'blind', 'intently', 'eye', 'cockeyed', 'persons', 'looking', 'describe', 'blinds']","['to describe a person with big eyes looking intently at something', 'to describe a person with small eyes looking intently at something ', ""to describe a blind person's eyes""]",eyes - crosseyed - blind - intently - eye - cockeyed - persons - looking - describe - blinds,1.0,True
3501,tơluỡng,to describe the way a cross-eyed person or person with eye defect looks,43,43_eyes_crosseyed_blind_intently,"['eyes', 'crosseyed', 'blind', 'intently', 'eye', 'cockeyed', 'persons', 'looking', 'describe', 'blinds']","['to describe a person with big eyes looking intently at something', 'to describe a person with small eyes looking intently at something ', ""to describe a blind person's eyes""]",eyes - crosseyed - blind - intently - eye - cockeyed - persons - looking - describe - blinds,1.0,False
3502,to'lĕnh,"to beat, hurt",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3503,tơm,trunk of tree; classifier for trees,16,16_tree_trees_log_branch,"['tree', 'trees', 'log', 'branch', 'branches', 'stump', 'pitch', 'dead', 'trunk', 'rub']","['type of tree--very large', 'a type of tree', 'the Têt tree ']",tree - trees - log - branch - branches - stump - pitch - dead - trunk - rub,0.5720704674016039,False
3504,tơm,"main, principal; owner ",8,8_family_younger_mother_women,"['family', 'younger', 'mother', 'women', 'brother', 'father', 'daughter', 'older', 'children', 'child']","[""father's or mother's elder brother "", 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'younger brother of father or mother']",family - younger - mother - women - brother - father - daughter - older - children - child,0.24972629043719974,False
3505,măng tơm,the main door,50,50_side_middle_inside_behind,"['side', 'middle', 'inside', 'behind', 'cases', 'paragraph', 'beneath', 'encircling', 'in', 'outer']","['side, as for, in some cases, may be a paragraph marker', 'one side', 'side by side']",side - middle - inside - behind - cases - paragraph - beneath - encircling - in - outer,0.24153529600675913,False
3506,tơmam,"thing, item, object",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3507,tơmang,to look far away ,38,38_look_see_at_clearly,"['look', 'see', 'at', 'clearly', 'here', 'closely', 'passes', 'stare', 'find', 'everybody']","['to look at ', 'to look at ', 'to look at']",look - see - at - clearly - here - closely - passes - stare - find - everybody,0.7036282087921808,False
3508,tơmăn,plains,51,51_river_sea_stream_south,"['river', 'sea', 'stream', 'south', 'ocean', 'source', 'backwater', 'north', 'mountainous', 'headwaters']","['river', 'bank of river, sea', 'deep water in river or in sea ']",river - sea - stream - south - ocean - source - backwater - north - mountainous - headwaters,0.3163946706645855,False
3509,tơmĭl,to be angry at each other,29,29_angry_sad_threaten_crestfallen,"['angry', 'sad', 'threaten', 'crestfallen', 'hate', 'belittle', 'offended', 'insult', 'at', 'attitude']","['to make sad, angry ', 'to be angry ', 'to be angry']",angry - sad - threaten - crestfallen - hate - belittle - offended - insult - at - attitude,1.0,False
3510,tơmo,"stone, rock",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3511,tơmoi,guest stranger foreigner outsider,35,35_people_many_group_race,"['people', 'many', 'group', 'race', 'doing', 'behind', 'another', 'together', 'walking', 'young']","['many people doing something together', 'people ', 'many people']",people - many - group - race - doing - behind - another - together - walking - young,0.40705461586233405,False
3512,tơmŏk,to be successful in hunting,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3513,"tơmông, iĕr tơmông",rooster,1,1_bird_birds_wings_rooster,"['bird', 'birds', 'wings', 'rooster', 'duck', 'nest', 'hen', 'pigeon', 'chickens', 'describe']","['a type of bird', 'bird', 'bird']",bird - birds - wings - rooster - duck - nest - hen - pigeon - chickens - describe,0.439507997128248,False
3514,tơmỡt,to make to enter,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3515,tơ'moih,to lure bait someone,12,12_fish_catch_net_rod,"['fish', 'catch', 'net', 'rod', 'shrimp', 'fishing', 'string', 'hunt', 'torch', 'line']","['a type of fish', 'type of fish', 'fish']",fish - catch - net - rod - shrimp - fishing - string - hunt - torch - line,1.0,False
3516,tơ'mok,to sit on haunches,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3517,tơ'mỡng,"stem that makes new leaf, flower",59,59_leaf_leaves_edible_plant,"['leaf', 'leaves', 'edible', 'plant', 'flowers', 'potato', 'sweet', 'flower', 'stem', 'new']","['leaf stem and main vein running up middle of leaf ', 'leaf ', 'an edible leaf (plant)']",leaf - leaves - edible - plant - flowers - potato - sweet - flower - stem - new,0.9456322198059502,False
3518,tơ'mret,"to do just a little, move just a little",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3519,tơnang,betel,65,65_bahnar_cheep_laotian_sedang,"['bahnar', 'cheep', 'laotian', 'sedang', 'chinese', 'lives', 'france', '15', '810000', 'american']","['Bahnar', 'Jarai---the large ethnic minority which lives near the Bahnar and shares to some extent culture and language features', 'the Bahnar who lives around the Kơdơ rice-growing 10 to 15 kilometers east of Pleiku 8-10,000 people']",bahnar - cheep - laotian - sedang - chinese - lives - france - 15 - 810000 - american,0.7804867034330141,False
3520,tơnang,door made of bamboo,9,9_bamboo_tube_xylophone_tall,"['bamboo', 'tube', 'xylophone', 'tall', 'type', 'leader', 'sprouts', 'slender', 'system', 'woven']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - tube - xylophone - tall - type - leader - sprouts - slender - system - woven,1.0,False
3521,tơnang,area with rocks unfit for field,17,17_grass_weeds_woods_garden,"['grass', 'weeds', 'woods', 'garden', 'forest', 'roofs', 'cleaned', 'thatch', 'field', 'wall']","['very young grass of thatch used to make roofs', 'to cut grass', 'grass, weeds']",grass - weeds - woods - garden - forest - roofs - cleaned - thatch - field - wall,0.8032282069464546,False
3522,tơnanh,woof,3,3_this_maybe_like_even,"['this', 'maybe', 'like', 'even', 'now', 'therefore', 'so', 'also', 'probably', 'but']","['perhaps, maybe this, maybe that ', 'like this', 'maybe this, maybe that']",this - maybe - like - even - now - therefore - so - also - probably - but,0.8850331656354846,False
3523,tơnăr,woven bamboo wall,9,9_bamboo_tube_xylophone_tall,"['bamboo', 'tube', 'xylophone', 'tall', 'type', 'leader', 'sprouts', 'slender', 'system', 'woven']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - tube - xylophone - tall - type - leader - sprouts - slender - system - woven,0.4045805200916465,False
3524,tơneh,papaya,25,25_fruit_ripe_mango_guava,"['fruit', 'ripe', 'mango', 'guava', 'apple', 'twist', 'break', 'off', 'inside', 'wild']","['lechee-like fruit ', 'fruit', 'a type of fruit']",fruit - ripe - mango - guava - apple - twist - break - off - inside - wild,0.6514568014673261,False
3525,tơneh,cigarette lighter,7,7_fire_light_ashes_smoke,"['fire', 'light', 'ashes', 'smoke', 'bright', 'coals', 'shine', 'lighting', 'burn', 'charcoal']","['to put out light or fire ', 'to light a fire ', 'to light a fire']",fire - light - ashes - smoke - bright - coals - shine - lighting - burn - charcoal,0.6082950098798263,False
3526,tơnei,"father-in-law, mother-in-law",8,8_family_younger_mother_women,"['family', 'younger', 'mother', 'women', 'brother', 'father', 'daughter', 'older', 'children', 'child']","[""father's or mother's elder brother "", 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'younger brother of father or mother']",family - younger - mother - women - brother - father - daughter - older - children - child,0.6377715961978805,False
3527,tơnen,"to be conscientious, dependable",24,24_depend_badtempered_friendly_kind,"['depend', 'badtempered', 'friendly', 'kind', 'brave', 'tame', 'courageous', 'dependable', 'trust', 'gentle']","['to depend on, trust', 'to depend on, trust in', 'to depend upon, to be dependable, trustworthy']",depend - badtempered - friendly - kind - brave - tame - courageous - dependable - trust - gentle,0.8633824974213741,False
3528,tơno,"male animals, non-producing plants",78,78_animals_birth_ears_offspring,"['animals', 'birth', 'ears', 'offspring', 'lay', 'pour', 'eggs', 'frogs', 'epileptic', 'drooping']","['of animals to have many offspring', 'of small animals to give birth', 'to pour; of sweat to pour out; of frogs to lay eggs, of animals to give birth ']",animals - birth - ears - offspring - lay - pour - eggs - frogs - epileptic - drooping,0.8282271590036214,False
3529,tơnŏ,to be warm,76,76_cold_warm_food_coldest,"['cold', 'warm', 'food', 'coldest', 'warmer', 'ice', 'heat', 'sweaty', 'cool', 'season']","['cold water, food', 'of food to be cold', 'cold ']",cold - warm - food - coldest - warmer - ice - heat - sweaty - cool - season,1.0,False
3530,ao tơnŏ,"coat, warm clothing",13,13_clothes_pretty_skirt_blanket,"['clothes', 'pretty', 'skirt', 'blanket', 'cloth', 'loincloth', 'clothing', 'trousers', 'waist', 'paper']","['to put on clothes', 'clothes', 'clothes ']",clothes - pretty - skirt - blanket - cloth - loincloth - clothing - trousers - waist - paper,1.0,False
3531,tơnôn,"stick used to hit with, club",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3532,tơnơm,"classifier for plants, trees",70,70_classifier_intensifier_for_automobiles,"['classifier', 'intensifier', 'for', 'automobiles', 'blankets', 'jars', 'classifiers', 'counting', 'elephants', 'series']","['classifier for paper money', 'classifier for plants, trees', 'classifier for people ']",classifier - intensifier - for - automobiles - blankets - jars - classifiers - counting - elephants - series,1.0,True
3533,tơnuh,hearth,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3534,tơnuh ŭnh,ashes,7,7_fire_light_ashes_smoke,"['fire', 'light', 'ashes', 'smoke', 'bright', 'coals', 'shine', 'lighting', 'burn', 'charcoal']","['to put out light or fire ', 'to light a fire ', 'to light a fire']",fire - light - ashes - smoke - bright - coals - shine - lighting - burn - charcoal,0.41506215524000467,False
3535,tơnung,"stick used to carry something on shoulder, oxcart tongue",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3536,tơnŭng-long tơnŭng,type of tree with large useable bark,16,16_tree_trees_log_branch,"['tree', 'trees', 'log', 'branch', 'branches', 'stump', 'pitch', 'dead', 'trunk', 'rub']","['type of tree--very large', 'a type of tree', 'the Têt tree ']",tree - trees - log - branch - branches - stump - pitch - dead - trunk - rub,1.0,False
3537,tơ'nỡng,to catch drips of water ,98,98_drink_sober_drunk_potions,"['drink', 'sober', 'drunk', 'potions', 'drips', 'juices', 'being', 'after', 'coffee', 'remain']","['to drink', 'to be sober', 'to be sober (after being drunk), to be well after being sick, to be talkative and friendly']",drink - sober - drunk - potions - drips - juices - being - after - coffee - remain,0.9628318027351881,False
3538,tơng,"to think, guess ",11,11_think_forget_recognize_understand,"['think', 'forget', 'recognize', 'understand', 'mistakenly', 'test', 'guess', 'know', 'try', 'ask']","['to think mistakenly ', 'to suppose, think, think mistakenly', 'to think']",think - forget - recognize - understand - mistakenly - test - guess - know - try - ask,0.8662138056051072,False
3539,tơng gơrơng,to completely finish,64,64_finished_finish_end_nearly,"['finished', 'finish', 'end', 'nearly', 'worst', 'signifies', 'thong', 'completely', 'forgive', 'pleasure']","['to completely finish', 'to finish ', 'to be finished ']",finished - finish - end - nearly - worst - signifies - thong - completely - forgive - pleasure,1.0,True
3540,tơngah,"in a few days, soon ",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3541,tơngiĕt,cold ,76,76_cold_warm_food_coldest,"['cold', 'warm', 'food', 'coldest', 'warmer', 'ice', 'heat', 'sweaty', 'cool', 'season']","['cold water, food', 'of food to be cold', 'cold ']",cold - warm - food - coldest - warmer - ice - heat - sweaty - cool - season,1.0,True
3542,"tơnglang, đak tơnglang",bamboo water system of Bahnar,9,9_bamboo_tube_xylophone_tall,"['bamboo', 'tube', 'xylophone', 'tall', 'type', 'leader', 'sprouts', 'slender', 'system', 'woven']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - tube - xylophone - tall - type - leader - sprouts - slender - system - woven,0.339750900649034,False
3543,tơnglăp,small box ,34,34_size_footprints_wide_length,"['size', 'footprints', 'wide', 'length', 'width', 'large', 'repeat', 'onebitesized', 'ie', 'breadth']","['same in size', 'the same size', 'size']",size - footprints - wide - length - width - large - repeat - onebitesized - ie - breadth,0.41991392453720716,False
3544,tơnglỡp,lid cover ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3545,tơngưih,"to moan, groan, feel nauseated",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3546,tơ'ngam-sơnĕnh tơ'ngam,molars,22,22_teeth_between_hold_show,"['teeth', 'between', 'hold', 'show', 'pipe', 'liver', 'moustache', 'molars', 'spleen', 'funnylooking']","['to show teeth ', 'of a young person to hold pipe between teeth', 'teeth']",teeth - between - hold - show - pipe - liver - moustache - molars - spleen - funnylooking,1.0,False
3547,tơ'ngĕl,of person to have small head ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3548,tơ'ngiơh,fingernail ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3549,tơ'ngla,"owner, landlord; self; honorific used with acquaintances for 'you' ",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3550,tơ'ngot,of trees to rub against each other ,16,16_tree_trees_log_branch,"['tree', 'trees', 'log', 'branch', 'branches', 'stump', 'pitch', 'dead', 'trunk', 'rub']","['type of tree--very large', 'a type of tree', 'the Têt tree ']",tree - trees - log - branch - branches - stump - pitch - dead - trunk - rub,0.9696827295350687,False
3551,tơ'ngot,to hit by mistake because tall,54,54_hit_target_miss_slug,"['hit', 'target', 'miss', 'slug', 'shoot', 'always', 'almost', 'aim', 'affected', 'barely']","['to almost hit the target barely miss', 'to always hit the target ', 'to hit target']",hit - target - miss - slug - shoot - always - almost - aim - affected - barely,0.6207402369525861,False
3552,tơ'ngơr,roof of mouth ,22,22_teeth_between_hold_show,"['teeth', 'between', 'hold', 'show', 'pipe', 'liver', 'moustache', 'molars', 'spleen', 'funnylooking']","['to show teeth ', 'of a young person to hold pipe between teeth', 'teeth']",teeth - between - hold - show - pipe - liver - moustache - molars - spleen - funnylooking,0.2323020145922996,False
3553,tơ'ngum,to cook in the coals with leaves around ,7,7_fire_light_ashes_smoke,"['fire', 'light', 'ashes', 'smoke', 'bright', 'coals', 'shine', 'lighting', 'burn', 'charcoal']","['to put out light or fire ', 'to light a fire ', 'to light a fire']",fire - light - ashes - smoke - bright - coals - shine - lighting - burn - charcoal,0.4924102584093494,False
3554,tơ'nguỡ,a tune melody ,36,36_crossbow_arrow_musical_gun,"['crossbow', 'arrow', 'musical', 'gun', 'instrument', 'bow', 'groove', 'trigger', 'simpler', 'western']","['to pull trigger of gun crossbow ', 'crossbow', 'crossbow ']",crossbow - arrow - musical - gun - instrument - bow - groove - trigger - simpler - western,0.059577022544600615,False
3555,tơnh,fussy in choosing ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3556,tơpa,type of turtle that lives in water,58,58_frog_lives_toad_toadstool,"['frog', 'lives', 'toad', 'toadstool', 'edible', 'snail', 'water', 'yellow', 'frogtoad', 'cheeks']","['an edible frog that noise ', 'large edible frog ', 'small frog that lives in the water ']",frog - lives - toad - toadstool - edible - snail - water - yellow - frogtoad - cheeks,0.6367688055781743,False
3557,tơpai,rabbit,14,14_horse_pig_wild_boar,"['horse', 'pig', 'wild', 'boar', 'animal', 'cow', 'oink', 'cowlick', 'wolf', 'cat']","['cowlick of horse or cow', 'horse', 'mane of horse, pig']",horse - pig - wild - boar - animal - cow - oink - cowlick - wolf - cat,1.0,False
3558,tơpang,"(bound morpheme that occurs in towpang ti, tơpang jỡng)",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3559,tơpang ti,hand,90,90_hand_reach_hands_lines,"['hand', 'reach', 'hands', 'lines', 'beckon', 'knuckle', 'signal', 'divine', 'slap', 'handspan']","['to reach as with hand', 'hand', 'to beckon, call by hand, give signal by hand or head']",hand - reach - hands - lines - beckon - knuckle - signal - divine - slap - handspan,0.9225935784939031,True
3560,tơpang jỡng,foot,45,45_leg_joint_arm_calf,"['leg', 'joint', 'arm', 'calf', 'upper', 'bone', 'amputated', 'veins', 'buttocks', 'either']","['calf of leg', 'of arm, leg to sleep', 'leg']",leg - joint - arm - calf - upper - bone - amputated - veins - buttocks - either,0.844791671454134,False
3561,tơpă,"truly, really",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3562,tơpăt,"straight, honest, truthful",24,24_depend_badtempered_friendly_kind,"['depend', 'badtempered', 'friendly', 'kind', 'brave', 'tame', 'courageous', 'dependable', 'trust', 'gentle']","['to depend on, trust', 'to depend on, trust in', 'to depend upon, to be dependable, trustworthy']",depend - badtempered - friendly - kind - brave - tame - courageous - dependable - trust - gentle,1.0,False
3563,tơphĕ,to break off as fruit from tree of its own accord ,25,25_fruit_ripe_mango_guava,"['fruit', 'ripe', 'mango', 'guava', 'apple', 'twist', 'break', 'off', 'inside', 'wild']","['lechee-like fruit ', 'fruit', 'a type of fruit']",fruit - ripe - mango - guava - apple - twist - break - off - inside - wild,0.8088624670239237,False
3564,tơpi ,to fan each other,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3565,tơpiêt,facial expression indicating unbelief,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3566,tơplễ,to designate person with big stomach,53,53_stomach_bloated_bladder_stomachs,"['stomach', 'bloated', 'bladder', 'stomachs', 'gall', 'big', 'gas', 'fatcheeked', 'constipation', 'swallowing']","['of a child to have a large stomach', 'bloated stomach of large animals ', 'to make stomach bloated ']",stomach - bloated - bladder - stomachs - gall - big - gas - fatcheeked - constipation - swallowing,0.9982120811520409,False
3567,tơplih,to change,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3568,tơplŏ,"of paint, skin to peel, flake",20,20_scrape_dirty_clean_wash,"['scrape', 'dirty', 'clean', 'wash', 'muddy', 'scratch', 'peel', 'off', 'paint', 'wipe']","['dirty water', 'to scrape out of the way, to scrape out and throw away', 'to scrape e.g. scrape pig skin']",scrape - dirty - clean - wash - muddy - scratch - peel - off - paint - wipe,0.8636145320347471,False
3569,tơplŏng,to jump,4,4_fall_down_jump_stand,"['fall', 'down', 'jump', 'stand', 'lean', 'upon', 'falling', 'over', 'up', 'quickly']","['to fall down from standing position, fall over', 'to make to fall over', 'to make to fall down ']",fall - down - jump - stand - lean - upon - falling - over - up - quickly,1.0,False
3570,tơplôch,to straighten out wire; to let fish go from hand accidentally,12,12_fish_catch_net_rod,"['fish', 'catch', 'net', 'rod', 'shrimp', 'fishing', 'string', 'hunt', 'torch', 'line']","['a type of fish', 'type of fish', 'fish']",fish - catch - net - rod - shrimp - fishing - string - hunt - torch - line,1.0,False
3571,tơpôl,"crowd, flock, herd",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
3572,topỗ,to become good friends,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
