,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
2669,to keep on sleeping even though you know you should be up ,83,83_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['not be able to sleep sit down ', 'to sleep lightly, to shut eyes but not really sleep', ""to speak in one's sleep""]",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2670,shortened form of word for seven ,97,97_language___,"['language', '', '', '', '', '', '', '', '', '']","['simple form of eight', 'shortened form of word for seven ', 'simple form of five']",language -  -  -  -  -  -  -  -  - ,1.0,True
2671,to smooth out something led to open wide,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2672,"French, France",0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2673,"to entice, tempt",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2674,very difficult trying hardship,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2675,emphatic form pơhmat,71,71_language___,"['language', '', '', '', '', '', '', '', '', '']","['emphatic form pơpỡ', 'emphatic form of hlǐch', 'emphatic form of tŏ']",language -  -  -  -  -  -  -  -  - ,1.0,False
2676,chisel ,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2677,soul,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2678,to point crossbow gun at someone mistakenly,70,70_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to pull trigger of gun crossbow ', 'crossbow', 'crossbow ']",animals activity -  -  -  -  -  -  -  -  - ,0.8048502903551565,False
2679,"to offend, used in a polite expression to ask for help ",9,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire ', 'to want, desire', 'to want, desire']",human activity -  -  -  -  -  -  -  -  - ,0.15116090154191167,False
2680,to study ,19,19_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to look at', 'to look at ', 'to look at ']",human activity -  -  -  -  -  -  -  -  - ,0.39216548614955765,False
2681,to make to eat or do to one's full (sometimes with bad connotation),46,46_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to get hungry for when seeing someone else eat', 'to eat ', 'to eat slowly, eat a little']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2682,"to owe, be in debt to",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2683,to dress up fancy,14,14_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes', 'clothes ']",human activity -  -  -  -  -  -  -  -  - ,0.5880484368729358,False
2684,"to disturb, bother",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2685,to put on someone's clothes for him,14,14_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes', 'clothes ']",human activity -  -  -  -  -  -  -  -  - ,0.9424107445786611,False
2686,"to spend all one's money to, empty something until a little left",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2687,to help someone drink water ,2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,0.4999831618580475,False
2688,"to tease, to make angry",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2689,a fox-like animal ,28,28_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to look for by smelling as dog after prey', 'to make to look for by smelling e.g. dog after prey', 'dog']",animals -  -  -  -  -  -  -  -  - ,1.0,False
2690,to argue,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2691,emphatic expression for arguing ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2692,"to transfer, to commit to ",44,44_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to turn over, a vehicle turning over', 'to have to do over and over, say over and over', 'to do over and over']",human activity -  -  -  -  -  -  -  -  - ,0.7847408338234909,False
2693,"to belittle, insult ",15,15_language___,"['language', '', '', '', '', '', '', '', '', '']","['to be angry ', 'to be angry', 'to make sad, angry ']",language -  -  -  -  -  -  -  -  - ,0.5840275670790697,False
2694,to resist ,99,99_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to obey', 'to obey', 'to obey']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2695,"to try to win, to have a contest ",62,62_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to try to win, to have a contest ', 'to knock; to fight each other', 'fight each other ']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
2696,to make someone hurry up,5,5_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['quickly, fast', 'to go quickly', 'fast, quickly ']",human activity -  -  -  -  -  -  -  -  - ,0.5669831350988064,False
2697,side by side,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2698,"to make, create ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2699,"to hurt, make sick ",40,40_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['very tired and weak from lack of food or sickness', 'to be very tired', 'tired ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2700,shaman ,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.9908339415037307,False
2701,to ripen already picked fruit ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2702,to vie with one another,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2703,to speak indirectly (through figures) to get one's point across often in,93,93_language___,"['language', '', '', '', '', '', '', '', '', '']","[""to speak indirectly (through figures) to get one's point across often in"", 'to speak, talk ', 'to speak with magical power, to speak and have something magical happen ']",language -  -  -  -  -  -  -  -  - ,0.9278329001660611,True
2704,"to make subservient to, to insult",15,15_language___,"['language', '', '', '', '', '', '', '', '', '']","['to be angry ', 'to be angry', 'to make sad, angry ']",language -  -  -  -  -  -  -  -  - ,0.6638971725749025,False
2705,"to hinder, bother; to eat something bad and good at the same time",46,46_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to get hungry for when seeing someone else eat', 'to eat ', 'to eat slowly, eat a little']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2706,"to stamp on, to crush",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2707,to cut straight carefully,41,41_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to cut into small slices', 'to cut', 'to cut']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2708,flower,45,45_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['stem that makes new leaf, flower', 'leaf stem and main vein running up middle of leaf ', 'leaf ']",plants -  -  -  -  -  -  -  -  - ,1.0,False
2709,"to command, promise",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2710,to do forcefully,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2711,to make dogs fight each other,28,28_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to look for by smelling as dog after prey', 'to make to look for by smelling e.g. dog after prey', 'dog']",animals -  -  -  -  -  -  -  -  - ,0.9738982842539525,False
2712,"to be proud, to show off",53,53_language___,"['language', '', '', '', '', '', '', '', '', '']","['to praise ', 'to praise', 'to praise, be amazed at']",language -  -  -  -  -  -  -  -  - ,1.0,False
2713,"literally to make to be finished with; to heal, to forgive",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2714,to force into one's mouth a handful of food; to curse,34,34_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to open mouth', 'to bring up from throat or spit out of mouth as bad tasting medicine, seeds', 'mouth']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2715,"to stick to, glue on to",4,4_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to hit with a large stick', 'to hit with a small stick', 'to hit target']",human activity -  -  -  -  -  -  -  -  - ,0.7715858974023304,False
2716,to describe woman who is always doing bad things,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2717,to marry,65,65_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['husband and wife', 'young unmarried man', 'to separate man from wife or not let a couple marry']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2718,to light a fire,11,11_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to light a fire', 'to light a fire ', 'large fire']",human activity -  -  -  -  -  -  -  -  - ,0.8049624125815916,True
2719,to frighten,30,30_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to be afraid continually, person who is always afraid ', 'to not be afraid ', 'to be afraid']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2720,to dry fish or other items,16,16_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of fish', 'fish', 'a type of fish']",animals activity -  -  -  -  -  -  -  -  - ,0.485117875777899,False
2721,to dress to prepare,14,14_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes', 'clothes ']",human activity -  -  -  -  -  -  -  -  - ,0.9027044077295714,False
2722,"different, peculiar",69,69_different_strange_new_usual,"['different', 'strange', 'new', 'usual', 'peculiar', 'unaware', 'unprepared', 'same', 'another', 'ordinary']","['different, new', 'different ', 'different, strange ']",different - strange - new - usual - peculiar - unaware - unprepared - same - another - ordinary,1.0,False
2723,butterfly,18,18_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of ant ', 'of an ant or bee to sting', 'a type of bee-like insect that is very small, its honey and offspring are edible']",animals activity -  -  -  -  -  -  -  -  - ,0.4203042563115082,False
2724,to make to fit ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2725,small type of bamboo,8,8_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2726,"to pick ferns, kernels of corn",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2727,village,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2728,competition to see who can win a girl or a fellow,62,62_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to try to win, to have a contest ', 'to knock; to fight each other', 'fight each other ']",human activity -  -  -  -  -  -  -  -  - ,0.9816924992586583,False
2729,"""If he can't I could never.""",9,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire ', 'to want, desire', 'to want, desire']",human activity -  -  -  -  -  -  -  -  - ,0.18838369505456115,False
2730,to apologize for doing wrong make things right,53,53_language___,"['language', '', '', '', '', '', '', '', '', '']","['to praise ', 'to praise', 'to praise, be amazed at']",language -  -  -  -  -  -  -  -  - ,1.0,False
2731,to sort rice,3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2732,some type of small bird with red comb,26,26_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['a type of bird', 'bird', 'bird']",animals activity -  -  -  -  -  -  -  -  - ,0.5243970411487936,False
2733,to try to tell a better story than someone else exaggerate,68,68_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to think', 'to think mistakenly ', 'to suppose, think, think mistakenly']",human activity -  -  -  -  -  -  -  -  - ,0.7637847124934632,False
2734,to try test,19,19_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to look at', 'to look at ', 'to look at ']",human activity -  -  -  -  -  -  -  -  - ,0.4490664891029225,False
2735,to kill,6,6_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['commune with the spirits, sacrifice ', 'cleansing ceremony to get rid of bad elements from living persons taking care of one who just died ', 'ceremony for someone who has died away from home and body not returned']",human activity -  -  -  -  -  -  -  -  - ,0.3805152375832045,False
2736,to fool betray,43,43_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to lie down', 'to lie', 'to lie']",human activity -  -  -  -  -  -  -  -  - ,0.8968808915184109,False
2737,to lie try to make believe falsehood,43,43_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to lie down', 'to lie', 'to lie']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2738,to console encourage entice,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2739,to do well ,94,94_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to finish, be done with, get well', 'to be finished ', 'to finish ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2740,to do work (quite generic),60,60_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['before, in front of, first', 'to begin, the beginning ', 'before, first']",human activity -  -  -  -  -  -  -  -  - ,0.9280513690757275,False
2741,"to speak, talk ",93,93_language___,"['language', '', '', '', '', '', '', '', '', '']","[""to speak indirectly (through figures) to get one's point across often in"", 'to speak, talk ', 'to speak with magical power, to speak and have something magical happen ']",language -  -  -  -  -  -  -  -  - ,1.0,True
2742,"to guess answer to a riddle, to draw lots",0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.8902265498702165,False
2743,bamboo split into parts,8,8_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",human activity -  -  -  -  -  -  -  -  - ,0.5417089973636527,False
2744,stick used in stirring food ,4,4_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to hit with a large stick', 'to hit with a small stick', 'to hit target']",human activity -  -  -  -  -  -  -  -  - ,0.7921803598395938,False
2745,ambitious,19,19_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to look at', 'to look at ', 'to look at ']",human activity -  -  -  -  -  -  -  -  - ,0.6923653760736619,False
2746,a plant with long slender leaves used to make mats,45,45_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['stem that makes new leaf, flower', 'leaf stem and main vein running up middle of leaf ', 'leaf ']",plants -  -  -  -  -  -  -  -  - ,1.0,False
2747,wing,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2748,tail of arrow,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2749,full moon,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2750,fins of fish,16,16_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of fish', 'fish', 'a type of fish']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2751,wallowing hole,17,17_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['hole in paper', 'hole in wall as rat hole', 'hole in ground']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2752,to age wine,42,42_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['wine', 'wine', 'type of expensive wine jar']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2753,"bunch, classifier of gia",0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2754,burrs,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.7654424843823171,False
2755,"just, only",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2756,to cool food ,23,23_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['dry season ', 'hot dry season', 'hot dry season']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2757,"to be proud, fussy in what one wears",14,14_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes', 'clothes ']",human activity -  -  -  -  -  -  -  -  - ,0.7159273953936997,False
2758,intently,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2759,of boil to throb be painful,103,103_water___,"['water', '', '', '', '', '', '', '', '', '']","['large kettle', 'metal pot, kettle, pan', 'pot, kettle ']",water -  -  -  -  -  -  -  -  - ,1.0,False
2760,to cause someone to think mistakenly,68,68_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to think', 'to think mistakenly ', 'to suppose, think, think mistakenly']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2761,to tease,32,32_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to keep quiet', 'to be quiet t', 'to be quiet']",human activity -  -  -  -  -  -  -  -  - ,0.416554868999255,False
2762,"to keep animal,  person from eating not give food to",46,46_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to get hungry for when seeing someone else eat', 'to eat ', 'to eat slowly, eat a little']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2763,"to give a person water to drink by holding gourd, cup just abpve mouth (but not touching)",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2764,to be hungry,46,46_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to get hungry for when seeing someone else eat', 'to eat ', 'to eat slowly, eat a little']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2765,to keep on doing,22,22_language___,"['language', '', '', '', '', '', '', '', '', '']","['to keep on doing', 'to keep on doing', 'to stop, prevent ']",language -  -  -  -  -  -  -  -  - ,1.0,True
2766,to hold or push someone head up,52,52_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to jack up, lift up by putting something in under; pain or ache from objects pressing against body ', 'to pull', 'to pull']",human activity -  -  -  -  -  -  -  -  - ,0.8813885759659299,False
2767,to swell,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2768,to clean out,54,54_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['wash, wipe with water', 'clean ', 'to fade, wash out, become clean ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2769,bowl,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2770,to find out for sure to look at closely,19,19_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to look at', 'to look at ', 'to look at ']",human activity -  -  -  -  -  -  -  -  - ,0.773034357912383,False
2771,to do something to make another give you his goods,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2772,to someone by asking for part of his catch before he goes hunting fishing,39,39_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to catch animals, trap animals', 'bird trap', 'fish trap']",animals activity -  -  -  -  -  -  -  -  - ,0.20526169712913023,False
2773,to show off dress up,14,14_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes', 'clothes ']",human activity -  -  -  -  -  -  -  -  - ,0.44921090278864345,False
2774,to give to someone what you yourself,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2775,to eat any old thing when by oneself,46,46_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to get hungry for when seeing someone else eat', 'to eat ', 'to eat slowly, eat a little']",human activity -  -  -  -  -  -  -  -  - ,0.9328746928571046,False
2776,a large tall type of bamboo,8,8_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",human activity -  -  -  -  -  -  -  -  - ,0.9947553229678108,False
2777,mango ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2778,"to make sad, angry ",15,15_language___,"['language', '', '', '', '', '', '', '', '', '']","['to be angry ', 'to be angry', 'to make sad, angry ']",language -  -  -  -  -  -  -  -  - ,0.7887028654020989,True
2779,"to not give food, to starve",46,46_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to get hungry for when seeing someone else eat', 'to eat ', 'to eat slowly, eat a little']",human activity -  -  -  -  -  -  -  -  - ,0.6055041827430008,False
2780,of plants to spread (have runners),45,45_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['stem that makes new leaf, flower', 'leaf stem and main vein running up middle of leaf ', 'leaf ']",plants -  -  -  -  -  -  -  -  - ,1.0,False
2781,to designate water flowing from pipe in large long stream,2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,0.8857081644974047,False
2782,to make a pile of weeds,24,24_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['woods, brush and weeds', 'grass, weeds', 'to cut grass']",plants -  -  -  -  -  -  -  -  - ,1.0,False
2783,"to bulge out, become bigger",29,29_size_wide_length_width,"['size', 'wide', 'length', 'width', 'large', 'big', 'crowded', 'breadth', 'tiny', 'mature']","['same in size', 'the same size', 'size']",size - wide - length - width - large - big - crowded - breadth - tiny - mature,0.4711547420160417,False
2784,to make believe,68,68_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to think', 'to think mistakenly ', 'to suppose, think, think mistakenly']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2785,"to squirm, move back and forth",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2786,emphatic form pơpỡ,71,71_language___,"['language', '', '', '', '', '', '', '', '', '']","['emphatic form pơpỡ', 'emphatic form of hlǐch', 'emphatic form of tŏ']",language -  -  -  -  -  -  -  -  - ,0.7962151383980357,True
2787,of a man's skin to be marked up by constantly being in wind,20,20_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['very black, dirty black ', 'very black, dirty black', 'color combination of having small spots of black and white']",human activity -  -  -  -  -  -  -  -  - ,0.5215389849250811,False
2788,to keep on doing,22,22_language___,"['language', '', '', '', '', '', '', '', '', '']","['to keep on doing', 'to keep on doing', 'to stop, prevent ']",language -  -  -  -  -  -  -  -  - ,0.9567969647226129,True
2789,to do boldly to do even though afraid,30,30_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to be afraid continually, person who is always afraid ', 'to not be afraid ', 'to be afraid']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2790,to drive out,52,52_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to jack up, lift up by putting something in under; pain or ache from objects pressing against body ', 'to pull', 'to pull']",human activity -  -  -  -  -  -  -  -  - ,0.8496361812639361,False
2791,germs,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2792,"to howl, yell",1,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",human activity -  -  -  -  -  -  -  -  - ,0.12097835560188622,False
